event,radiator,recoiler_before,recoiler_after,daughter_b,daughter_c,radiator_pid,daughter_b_pid,daughter_c_pid,recoiler_pid,scale,Q,Q2,z,z_lab,residual
1757,14,11,19,17,18,21,-3,3,-2,0.6846316456794739,1.7357241630584486,3.0127383702249517,0.7511576875575373,0.8188229235121932,4.6648013122375395e-07
1801,10,9,16,14,15,21,3,-3,21,0.8833068609237671,1.8905853293734216,3.5743128876420087,0.6509495518799855,0.642175363190561,9.948381290264516e-06
1808,8,7,12,10,11,21,1,-1,2,0.6404861807823181,1.3329359442926874,1.776718231587438,0.6104701186353202,0.17957302698201066,3.4119715019220545e-05
1811,20,27,33,31,32,21,-3,3,21,0.5008076429367065,1.0297520842767944,1.0603893550724024,0.4728745182612045,0.4533739419139954,9.584309167921312e-06
1841,11,12,15,13,14,21,-1,1,21,0.6121852993965149,1.227366431474589,1.506428357110667,0.529435856384921,0.5063025817389313,5.992045778895348e-07
1852,8,7,12,10,11,21,1,-1,2,0.6108805537223816,1.391292335986947,1.9356943641760154,0.7100911668186554,0.2796498489445255,8.530089160632195e-06
1860,10,9,13,11,12,21,-1,1,-1,3.6497559547424316,7.716882803544616,59.550280203642615,0.33837771397434363,0.33728176957383504,3.826321088243493e-06
1871,8,9,12,10,11,21,-1,1,-1,1.3581812381744385,3.422097433141549,11.710750841913978,0.7983466265334678,0.8218498167278643,1.7585063871447402e-05
1877,19,18,26,24,25,21,-3,3,21,1.3721823692321777,2.9157460872779506,8.501575245476678,0.3413496667852775,0.30394877803935866,1.7131177904207912e-05
1890,98,97,102,100,101,21,1,-1,21,0.5981894731521606,1.2461216818219312,1.5528192459067185,0.6186311662621352,0.8250065557513582,2.8038842331891826e-07
1891,10,9,13,11,12,21,1,-1,21,4.934664249420166,13.08887669005651,171.3186930075047,0.8280056016116959,0.23429120703806006,2.532652246669418e-06
1891,13,12,63,61,62,21,-1,1,-1,1.2259390354156494,2.4597938635131316,6.050585850976859,0.46169582895899897,0.4718785511545124,4.267043192170963e-06
1891,92,98,106,104,105,21,2,-2,21,0.5757344365119934,1.5509439555727575,2.405427153327672,0.8031184198296915,0.9368275738161557,3.063187764659318e-07
1894,8,9,12,10,11,21,1,-1,1,0.6616067290306091,1.3450570683354257,1.80917851707909,0.4216534217426205,0.5382661801660075,3.814748651729551e-06
1922,27,28,31,29,30,21,2,-2,21,0.5528200268745422,1.7632728051821713,3.1091309854950033,0.1388195896823488,0.7052126984757231,1.2903063387149135e-06
1923,8,9,12,10,11,21,1,-1,3,0.7171424627304077,1.9970049554225098,3.9880287919820603,0.17164047607191238,0.17198437242200054,2.431585328420676e-06
1948,17,31,40,38,39,21,1,-1,21,0.7530869841575623,1.6851677701538197,2.839790413565197,0.2936670262449243,0.4685513602534784,9.541398640621973e-07
1949,70,69,76,74,75,21,1,-1,21,0.7012368440628052,1.4854842277820408,2.206663390989206,0.6476508409212388,0.8474078472965314,9.613631127919458e-07
1950,31,30,40,38,39,21,-3,3,21,0.9216786026954651,2.101689978115837,4.417100764112547,0.2967580628115407,0.2682268089605753,4.349444497008882e-05
1962,49,35,84,82,83,21,3,-3,21,0.6740821003913879,1.3515692657592457,1.8267394801449868,0.4761384397157067,0.3300693306040189,1.4650210307883995e-07
